Transaction_ID,Date,Customer_Name,Product_Category,Price,Quantity,Discount,Rating
TXN-1034,2026-01-01,Anonymous,Home & Kitchen,701.1300000000001,1.0,0.7000000000000001,2.9
TXN-1036,2026-04-03,Amelia Earhart,Home & Kitchen,1213.17,2.0,0.0,2.6
TXN-1175,2026-01-07,Olivia Rodrigo,Books,1202.88,-2.0,0.19,2.9
TXN-1002,2026-01-03,Olivia Rodrigo,Books,701.1300000000001,1.0,0.0,4.4
TXN-1045,2026-04-03,Elijah Wood,Home & Kitchen,1478.11,18.5,0.0,2.7
TXN-1040,2026-04-11,Charlotte Bronte,Office Supplies,701.1300000000001,1.0,0.0,2.9
TXN-1101,2026-03-06,James Bond,Books,701.1300000000001,4.0,0.7000000000000001,1.2
TXN-1135,,James Bond,Office Supplies,701.1300000000001,7.0,0.25,2.3
TXN-1052,2026-01-10,Anonymous,Books,119.16,5.0,0.16,4.5
TXN-1149,2026-01-21,James Bond,Books,1212.58,9.0,0.28,1.5
TXN-1079,,Noah Centineo,Books,701.1300000000001,5.0,0.7000000000000001,4.6
TXN-1159,,Oliver Twist,Books,204.92,3.0,0.0,2.7
TXN-1109,,Noah Centineo,Office Supplies,230.66,-3.0,0.38,1.2
TXN-1111,2026-03-29,Olivia Rodrigo,Books,615.5,3.0,0.0,0.0
TXN-1104,2026-04-13,Elijah Wood,Books,504.96,4.0,0.33,2.9
TXN-1133,2026-04-20,Emma Watson,Clothing,1232.6,4.0,0.0,6.387499999999999
TXN-1001,2026-04-21,Anonymous,Office Supplies,605.52,9.0,0.06,2.0
TXN-1060,2026-02-03,Anonymous,Office Supplies,477.38,9.0,0.23,6.387499999999999
TXN-1013,,Anonymous,Books,1410.99,4.0,0.07,2.3
TXN-1044,2026-04-19,Oliver Twist,Clothing,1048.84,4.0,0.7000000000000001,4.6
TXN-1016,2026-02-08,Liam Neeson,Home & Kitchen,786.76,8.0,0.7000000000000001,4.2
TXN-1008,2026-04-05,Olivia Rodrigo,Books,1229.45,5.0,0.11,2.9
TXN-1163,,Olivia Rodrigo,Books,701.1300000000001,4.0,0.27,2.9
TXN-1029,2026-04-09,Elijah Wood,Books,756.48,2.0,0.7000000000000001,5.0
TXN-1035,2026-04-07,Amelia Earhart,Books,1225.09,3.0,0.0,2.0
TXN-1021,2026-03-23,James Bond,Home & Kitchen,125.45,18.5,0.16,1.6
TXN-1115,2026-03-30,Emma Watson,Books,736.64,4.0,0.0,4.1
TXN-1085,2026-01-03,Amelia Earhart,Electronics,454.93,7.0,0.7000000000000001,4.2
TXN-1030,2026-03-04,Elijah Wood,Clothing,1021.92,3.0,0.0,4.9
TXN-1027,2026-04-27,Amelia Earhart,Electronics,212.19,1.0,0.16,2.4
